"","State","date","price"
"563","Texas","2000-12-31",58396.4636726874
"564","Florida","2000-12-31",77439.1282275515
"565","New York","2000-12-31",101630.582932612
"566","Pennsylvania","2000-12-31",66810.9834164069
"567","Illinois","2000-12-31",82324.7874418648
"568","Ohio","2000-12-31",66447.0995601213
"569","Georgia","2000-12-31",70352.6475584185
"570","North Carolina","2000-12-31",78699.6931718243
"571","Michigan","2000-12-31",75440.5745549885
"572","New Jersey","2000-12-31",123836.586366994
"573","Virginia","2000-12-31",78918.7843393864
"574","Washington","2000-12-31",130892.21268396
"575","Arizona","2000-12-31",108448.052822819
"576","Massachusetts","2000-12-31",161978.67276698
"577","Tennessee","2000-12-31",68247.044997968
"578","Indiana","2000-12-31",56663.2394412529
"579","Maryland","2000-12-31",96900.4716424649
"580","Missouri","2000-12-31",58073.1965581522
"581","Wisconsin","2000-12-31",87708.666991741
"582","Colorado","2000-12-31",134753.93047702
"583","Minnesota","2000-12-31",103920.238155725
"584","South Carolina","2000-12-31",76188.2503513955
"585","Alabama","2000-12-31",55662.9395605664
"586","Louisiana","2000-12-31",67151.3120924182
"587","Kentucky","2000-12-31",57657.651105198
"588","Oregon","2000-12-31",107490.645338991
"589","Oklahoma","2000-12-31",32935.6929847439
"590","Connecticut","2000-12-31",119408.831528786
"591","Utah","2000-12-31",120904.964555492
"592","Iowa","2000-12-31",65760.363574446
"593","Nevada","2000-12-31",112139.530577858
"594","Arkansas","2000-12-31",51060.0321055362
"595","Mississippi","2000-12-31",NA
"596","Kansas","2000-12-31",46831.41354111
"597","New Mexico","2000-12-31",NA
"598","Nebraska","2000-12-31",68242.9855437618
"599","Idaho","2000-12-31",80432.3447683661
"600","West Virginia","2000-12-31",39147.4014143346
"601","Hawaii","2000-12-31",149418.90722281
"602","New Hampshire","2000-12-31",106384.694290986
"603","Maine","2000-12-31",89147.2521707847
"604","Rhode Island","2000-12-31",110433.988796304
"605","Montana","2000-12-31",NA
"606","Delaware","2000-12-31",101461.843914014
"607","South Dakota","2000-12-31",NA
"608","North Dakota","2000-12-31",NA
"609","Alaska","2000-12-31",94922.1106450584
"610","District of Columbia","2000-12-31",157045.86236772
"611","Vermont","2000-12-31",87637.7571683497
"612","Wyoming","2000-12-31",NA
"613","California","2001-01-31",158108.364364603
"614","Texas","2001-01-31",58512.5115569285
"615","Florida","2001-01-31",77877.2296498442
"616","New York","2001-01-31",102210.508510722
"617","Pennsylvania","2001-01-31",67086.4203013553
"618","Illinois","2001-01-31",82741.5076942441
"619","Ohio","2001-01-31",66728.5519012982
"620","Georgia","2001-01-31",70897.0557127653
